id,cage number,mouseline,genotype,gender,dob,available,health,user name,user manipulations,status,comments
l2201,"""607551""",chat,cre_td_tomato,m,11_16_2024,no,h,jg,None,d,test
l3571,"""571028""",chat,chat_cas9,m,6_16_2024,no,h,jg,None,d,
